	0	1	2	3	4	5	6	7	8	9
Annie_eYYaXcjRjQo_round36_Miss-Fortune_05-20-2021.mp4_39_1.jpg	Annie	Malphite	Xayah	Lucian	Ziggs	Renekton	Vi	Katarina	Alistar	Olaf
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_66_1.jpg	Annie	Kennen	Renekton	Malphite	Xin_Zhao	Corki	Yasuo	Vi	Amumu	Ziggs
Janna_4448886761788772_round2_Evelynn_05-04-2021.mp4_96_3.jpg	Jinx	Singed	Amumu	Tryndamere	Evelynn	Vi	Diana	Tristana	Yasuo	Xayah
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_58_2.jpg	Ashe	Blitzcrank	Vi	Rengar	Thresh	Aurelion_Sol	Xin_Zhao	Vayne	Tristana	Yasuo
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_58_2.jpg	Amumu	Jinx	Diana	Dr._Mundo	Janna	Zed	Riven	Evelynn	Yasuo	Tryndamere
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_9_1.jpg	Morgana	Graves	Darius	Twisted_Fate	Lucian	Renekton	Xayah	Jhin	Varus	Vi
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_3.jpg	Evelynn	Janna	Jinx	Nami	Tryndamere	Yasuo	Diana	Ahri	Dr._Mundo	Amumu
Master_142330807963265_round2_Amumu_06-14-2021.mp4_12_3.jpg	Tryndamere	Janna	Camille	Orianna	Jinx	Master_Yi	Evelynn	Blitzcrank	Singed	Diana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_10_1.jpg	Darius	Jhin	Graves	Lucian	Xayah	Alistar	Varus	Renekton	Twisted_Fate	Morgana
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_65_1.jpg	Malphite	Lucian	Akali	Alistar	Xayah	Twisted_Fate	Renekton	Graves	Vi	Caitlyn
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_24_1.jpg	Vayne	Xayah	Nunu	Ashe	Evelynn	Xin_Zhao	Tristana	Vi	Blitzcrank	Yasuo
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_29_0.jpg	Varus	Braum	Malphite	Lee_Sin	Yasuo	Tristana	Vi	Corki	Ziggs	Nunu
Jinx_v1033497503_round5_Sona_05-25-2021.mp4_85_1.jpg	Diana	Morgana	Orianna	Vi	Evelynn	Jinx	Yasuo	Tristana	Xin_Zhao	Tryndamere
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_36_1.jpg	Twisted_Fate	Caitlyn	Morgana	KhaZix	Jarvan_IV	Alistar	Renekton	Xayah	Graves	Lucian
Jinx_216130339881960_round5_Sona_04-26-2021.mp4_34_1.jpg	Jinx	Janna	Diana	Tryndamere	Amumu	Master_Yi	Yasuo	Riven	Galio	Evelynn
Jarvan_188828656421928_round1_Kai'Sa_05-19-2021.mp4_36_1.jpg	Caitlyn	Lucian	Katarina	Xayah	Alistar	Jarvan_IV	Renekton	Twisted_Fate	Malphite	Graves
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_10_1.jpg	Malphite	Vi	Xayah	KaiSa	Alistar	Caitlyn	Lucian	Katarina	Renekton	Graves
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_85_3.jpg	Tryndamere	Evelynn	Amumu	Riven	Dr._Mundo	Diana	Yasuo	Galio	Malphite	Nami
Jinx_182388960412791_round6_Jinx_05-04-2021.mp4_11_2.jpg	Jinx	Evelynn	Nami	Diana	Yasuo	Singed	Morgana	Orianna	Tristana	Tryndamere
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_45_1.jpg	Darius	KaiSa	Graves	Varus	Xayah	Twisted_Fate	Jhin	Renekton	Alistar	Vi
Akali_JEpZIpnC-LM_round6_Akali_05-22-2021.mp4_10_1.jpg	Alistar	Lucian	Olaf	Malphite	KaiSa	Akali	Renekton	Caitlyn	Graves	Xayah
Blitzcrank_496418424743603_round1_Shyvana_06-02-2021.mp4_194_3.jpg	Orianna	Renekton	Diana	Vi	Yasuo	Ahri	Singed	Xayah	Xin_Zhao	Blitzcrank
Ashe_231705051716794_round3_Ashe_06-07-2021.mp4_26_2.jpg	Alistar	Xayah	Vi	Jax	Vayne	Nasus	Tristana	Thresh	Varus	Rengar
Annie_2996176217280056_round1_Akali_06-11-2021.mp4_110_3.jpg	Annie	Ziggs	Alistar	Malphite	Twisted_Fate	Lucian	Xayah	Vi	Renekton	Katarina
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_32_1.jpg	Orianna	Blitzcrank	Jinx	Garen	Ahri	Xayah	Yasuo	Kennen	Xin_Zhao	Vi
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_25_1.jpg	Akshan	Nasus	Malphite	Nunu	Xayah	Ziggs	Vayne	Rengar	Alistar	Tristana
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_57_2.jpg	Jinx	Diana	Evelynn	Tryndamere	Zed	Xin_Zhao	Janna	Yasuo	Amumu	Riven
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_23_3.jpg	Yasuo	Vayne	Nunu	Garen	Rengar	Tristana	Xin_Zhao	Kennen	Blitzcrank	Vi
Darius_490569228738448_round8_Braum_04-20-2021.mp4_35_1.jpg	KaiSa	Graves	Varus	Jhin	Morgana	Darius	Renekton	Twisted_Fate	Lucian	Xayah
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_37_0.jpg	Yasuo	Diana	Jax	Lucian	Evelynn	Xayah	Tristana	Vi	Varus	Graves
Jinx_570649517229749_round3_Braum_04-22-2021.mp4_37_3.jpg	Darius	KaiSa	Varus	Lulu	Ahri	Morgana	Thresh	Xayah	Yasuo	Vi
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_10_0.jpg	Alistar	KaiSa	Vi	Jarvan_IV	Dr._Mundo	Twisted_Fate	Graves	Lucian	Xayah	Malphite
Jinx_1398331007194492_round1_Master-Yi_04-26-2021.mp4_28_0.jpg	Corki	Xin_Zhao	Janna	Jinx	Master_Yi	Amumu	Yasuo	Singed	Evelynn	Diana
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_48_1.jpg	KaiSa	Akali	Caitlyn	Malphite	Alistar	Twisted_Fate	Graves	Lucian	Renekton	Xayah
