	0	1	2	3	4	5
Annie_eYYaXcjRjQo_round36_Miss-Fortune_05-20-2021.mp4_39_1.jpg	Malphite	Annie	Katarina	Vi	Xayah	Ziggs
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_66_1.jpg	Ziggs	Amumu	Vi	Renekton	Yasuo	Malphite
Janna_4448886761788772_round2_Evelynn_05-04-2021.mp4_96_3.jpg	Jinx	Evelynn	Vi	Diana	Tristana	Yasuo
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_58_2.jpg	Vi	Blitzcrank	Ashe	Vayne	Xin_Zhao	Rengar
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_58_2.jpg	Jinx	Diana	Evelynn	Yasuo	Tryndamere	Amumu
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_9_1.jpg	Darius	Lucian	Renekton	Morgana	Xayah	Graves
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_3.jpg	Janna	Jinx	Tryndamere	Yasuo	Evelynn	Diana
Master_142330807963265_round2_Amumu_06-14-2021.mp4_12_3.jpg	Jinx	Master_Yi	Blitzcrank	Singed	Diana	Janna
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_10_1.jpg	Darius	Twisted_Fate	Renekton	Varus	Graves	Xayah
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_65_1.jpg	Malphite	Graves	Renekton	Akali	Lucian	Xayah
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_24_1.jpg	Nunu	Tristana	Vi	Vayne	Blitzcrank	Yasuo
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_29_0.jpg	Braum	Malphite	Lee_Sin	Corki	Ziggs	Nunu
Jinx_v1033497503_round5_Sona_05-25-2021.mp4_85_1.jpg	Orianna	Vi	Evelynn	Jinx	Tryndamere	Diana
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_36_1.jpg	Jarvan_IV	Renekton	Xayah	Caitlyn	Graves	Lucian
Jinx_216130339881960_round5_Sona_04-26-2021.mp4_34_1.jpg	Diana	Janna	Jinx	Riven	Yasuo	Tryndamere
Jarvan_188828656421928_round1_Kai'Sa_05-19-2021.mp4_36_1.jpg	Xayah	Alistar	Jarvan_IV	Malphite	Graves	Lucian
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_10_1.jpg	Alistar	Lucian	Katarina	Graves	Malphite	Xayah
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_85_3.jpg	Evelynn	Amumu	Dr._Mundo	Diana	Yasuo	Tryndamere
Jinx_182388960412791_round6_Jinx_05-04-2021.mp4_11_2.jpg	Jinx	Orianna	Morgana	Evelynn	Yasuo	Diana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_45_1.jpg	KaiSa	Darius	Renekton	Jhin	Graves	Xayah
Akali_JEpZIpnC-LM_round6_Akali_05-22-2021.mp4_10_1.jpg	Malphite	KaiSa	Akali	Alistar	Xayah	Lucian
Blitzcrank_496418424743603_round1_Shyvana_06-02-2021.mp4_194_3.jpg	Diana	Vi	Xayah	Orianna	Xin_Zhao	Blitzcrank
Ashe_231705051716794_round3_Ashe_06-07-2021.mp4_26_2.jpg	Vi	Tristana	Thresh	Alistar	Varus	Rengar
Annie_2996176217280056_round1_Akali_06-11-2021.mp4_110_3.jpg	Ziggs	Annie	Renekton	Vi	Xayah	Malphite
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_32_1.jpg	Blitzcrank	Garen	Yasuo	Kennen	Xin_Zhao	Vi
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_25_1.jpg	Malphite	Tristana	Alistar	Rengar	Vayne	Nunu
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_57_2.jpg	Diana	Jinx	Yasuo	Janna	Evelynn	Tryndamere
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_23_3.jpg	Vayne	Blitzcrank	Kennen	Xin_Zhao	Nunu	Rengar
Darius_490569228738448_round8_Braum_04-20-2021.mp4_35_1.jpg	Varus	Morgana	Darius	Lucian	Xayah	Graves
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_37_0.jpg	Jax	Lucian	Evelynn	Diana	Graves	Yasuo
Jinx_570649517229749_round3_Braum_04-22-2021.mp4_37_3.jpg	Lulu	Morgana	Thresh	Xayah	Yasuo	Vi
