	0	1	2	3	4	5	6
Annie_eYYaXcjRjQo_round36_Miss-Fortune_05-20-2021.mp4_39_1.jpg	Malphite	Annie	Alistar	Katarina	Vi	Xayah	Ziggs
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_66_1.jpg	Kennen	Ziggs	Amumu	Vi	Renekton	Yasuo	Malphite
Janna_4448886761788772_round2_Evelynn_05-04-2021.mp4_96_3.jpg	Jinx	Tryndamere	Evelynn	Vi	Diana	Tristana	Yasuo
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_58_2.jpg	Vi	Blitzcrank	Ashe	Tristana	Vayne	Xin_Zhao	Rengar
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_58_2.jpg	Jinx	Diana	Riven	Evelynn	Yasuo	Tryndamere	Amumu
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_9_1.jpg	Darius	Twisted_Fate	Lucian	Renekton	Morgana	Xayah	Graves
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_3.jpg	Janna	Jinx	Nami	Tryndamere	Yasuo	Evelynn	Diana
Master_142330807963265_round2_Amumu_06-14-2021.mp4_12_3.jpg	Janna	Camille	Jinx	Master_Yi	Blitzcrank	Singed	Diana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_10_1.jpg	Jhin	Darius	Twisted_Fate	Renekton	Varus	Graves	Xayah
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_65_1.jpg	Lucian	Malphite	Vi	Graves	Renekton	Akali	Xayah
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_24_1.jpg	Nunu	Xin_Zhao	Tristana	Vi	Vayne	Blitzcrank	Yasuo
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_29_0.jpg	Braum	Malphite	Lee_Sin	Vi	Corki	Ziggs	Nunu
Jinx_v1033497503_round5_Sona_05-25-2021.mp4_85_1.jpg	Orianna	Vi	Evelynn	Jinx	Xin_Zhao	Tryndamere	Diana
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_36_1.jpg	Jarvan_IV	Twisted_Fate	Renekton	Xayah	Caitlyn	Graves	Lucian
Jinx_216130339881960_round5_Sona_04-26-2021.mp4_34_1.jpg	Diana	Janna	Jinx	Galio	Riven	Yasuo	Tryndamere
Jarvan_188828656421928_round1_Kai'Sa_05-19-2021.mp4_36_1.jpg	Lucian	Xayah	Alistar	Jarvan_IV	Twisted_Fate	Malphite	Graves
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_10_1.jpg	Xayah	Alistar	Lucian	Katarina	Vi	Graves	Malphite
Amumu_142330807963265_round2_Amumu_06-14-2021.mp4_85_3.jpg	Evelynn	Amumu	Riven	Dr._Mundo	Diana	Yasuo	Tryndamere
Jinx_182388960412791_round6_Jinx_05-04-2021.mp4_11_2.jpg	Jinx	Tristana	Orianna	Morgana	Evelynn	Yasuo	Diana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_45_1.jpg	KaiSa	Darius	Alistar	Renekton	Jhin	Graves	Xayah
Akali_JEpZIpnC-LM_round6_Akali_05-22-2021.mp4_10_1.jpg	Malphite	KaiSa	Akali	Graves	Alistar	Xayah	Lucian
Blitzcrank_496418424743603_round1_Shyvana_06-02-2021.mp4_194_3.jpg	Diana	Vi	Singed	Xayah	Orianna	Xin_Zhao	Blitzcrank
Ashe_231705051716794_round3_Ashe_06-07-2021.mp4_26_2.jpg	Vi	Nasus	Tristana	Thresh	Alistar	Varus	Rengar
Annie_2996176217280056_round1_Akali_06-11-2021.mp4_110_3.jpg	Ziggs	Annie	Katarina	Renekton	Vi	Xayah	Malphite
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_32_1.jpg	Blitzcrank	Garen	Xayah	Yasuo	Kennen	Xin_Zhao	Vi
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_25_1.jpg	Xayah	Malphite	Tristana	Alistar	Rengar	Vayne	Nunu
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_57_2.jpg	Diana	Jinx	Amumu	Yasuo	Janna	Evelynn	Tryndamere
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_23_3.jpg	Vayne	Vi	Blitzcrank	Kennen	Xin_Zhao	Nunu	Rengar
Darius_490569228738448_round8_Braum_04-20-2021.mp4_35_1.jpg	Graves	Varus	Morgana	Darius	Twisted_Fate	Lucian	Xayah
Evelynn_9Aa4KRvaLFA_round1_Tryndamere_05-19-2021.mp4_37_0.jpg	Diana	Jax	Lucian	Evelynn	Varus	Graves	Yasuo
Jinx_570649517229749_round3_Braum_04-22-2021.mp4_37_3.jpg	Lulu	Ahri	Morgana	Thresh	Xayah	Yasuo	Vi
Graves_1398331007194492_round4_Jarvan-IV_04-26-2021.mp4_10_0.jpg	Vi	Jarvan_IV	Alistar	Graves	Lucian	Xayah	Malphite
Jinx_1398331007194492_round1_Master-Yi_04-26-2021.mp4_28_0.jpg	Corki	Janna	Jinx	Master_Yi	Singed	Evelynn	Diana
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_48_1.jpg	Caitlyn	Malphite	Twisted_Fate	Graves	Lucian	Renekton	Xayah
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_31_1.jpg	Malphite	Alistar	KaiSa	Lucian	Renekton	Xayah	Graves
Annie_4448886761788772_round5_Varus_05-04-2021.mp4_29_6.jpg	Ziggs	Annie	Malphite	Vi	Alistar	Renekton	Xayah
Jinx_gDmCWkbu_94_round15_Lux_05-20-2021.mp4_8_3.jpg	Rammus	Amumu	Leona	Janna	Evelynn	Tryndamere	Riven
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_19_1.jpg	Blitzcrank	Garen	Yasuo	Xayah	Kennen	Vi	Xin_Zhao
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_13_1.jpg	Soraka	Nunu	Braum	Lee_Sin	Vi	Ziggs	Corki
Amumu_394136318582151_round1_Shyvana_06-15-2021.mp4_33_3.jpg	Evelynn	Amumu	Riven	Diana	Dr._Mundo	Yasuo	Tryndamere
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_43_1.jpg	Akali	Malphite	Dr._Mundo	Lucian	Alistar	Twisted_Fate	Yasuo
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_15_1.jpg	Lucian	Caitlyn	Alistar	Katarina	Vi	Graves	Xayah
Leona_278220660753197_round2_Olaf_06-02-2021.mp4_10_2.jpg	Jinx	Leona	Zed	Renekton	Diana	Xin_Zhao	Vi
Darius_496418424743603_round1_Shyvana_06-02-2021.mp4_63_1.jpg	Xayah	Morgana	Darius	Renekton	Twisted_Fate	Varus	Graves
Jinx_4161501510579966_round2_Fiora_06-10-2021.mp4_23_1.jpg	Kennen	Ahri	Yasuo	Xin_Zhao	Evelynn	Xayah	Vi
Darius_334050191468168_round4_Tryndamere_05-20-2021.mp4_111_1.jpg	Varus	Zed	Renekton	Nasus	Vi	Malphite	Xayah
Ahri_278220660753197_round6_Ahri_06-02-2021.mp4_10_2.jpg	Morgana	Jhin	Ahri	Twisted_Fate	Graves	Lucian	Xayah
Darius_332582944955929_round2_Darius_05-22-2021.mp4_11_1.jpg	Morgana	Caitlyn	Darius	Lucian	Renekton	Xayah	Graves
KaiSa_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_116_1.jpg	Varus	Xayah	KaiSa	Yasuo	Alistar	Thresh	Vi
Dr_1140587809775566_round3_Dr.-Mundo_06-08-2021.mp4_10_1.jpg	KaiSa	Malphite	Xayah	Varus	Alistar	Graves	Lucian
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_57_1.jpg	Vi	Xayah	Jax	Shyvana	Tristana	Rengar	Singed
Jinx_1378226675865613_round3_Fiora_04-23-2021.mp4_38_1.jpg	Jinx	Nami	Tristana	Tryndamere	Evelynn	Yasuo	Diana
Blitzcrank_497195698160265_round5_Amumu_06-05-2021.mp4_114_2.jpg	Xayah	Ahri	Morgana	Blitzcrank	Renekton	Orianna	Vi
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_10_1.jpg	Darius	Twisted_Fate	Renekton	Morgana	Lucian	Xayah	Graves
Miss_232154245077306_round3_Lee-Sin_06-14-2021.mp4_24_1.jpg	Orianna	Morgana	Miss_Fortune	Lucian	Renekton	Graves	Xayah
Lux_1398331007194492_round1_Master-Yi_04-26-2021.mp4_1_1.jpg	Master_Yi	Janna	Jinx	Lux	Camille	Galio	Soraka
Camille_9Aa4KRvaLFA_round5_Ziggs_05-19-2021.mp4_53_0.jpg	Tristana	Singed	Jax	Xin_Zhao	Alistar	Rengar	Vi
Alistar_123853103101643_round4_Alistar_06-05-2021.mp4_11_1.jpg	Malphite	Jax	Lucian	Alistar	Graves	Xayah	Varus
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_82_1.jpg	Akali	Malphite	Alistar	Twisted_Fate	Lucian	Renekton	Xayah
Jarvan_497195698160265_round6_Shyvana_06-05-2021.mp4_121_5.jpg	Lucian	Xayah	Morgana	Caitlyn	Jhin	Renekton	Graves
Janna_1378226675865613_round6_Janna_04-23-2021.mp4_10_2.jpg	Singed	Tristana	Xin_Zhao	Blitzcrank	Ezreal	Vi	Rengar
Katarina_167856652018987_round3_Annie_06-10-2021.mp4_18_7.jpg	Xayah	Lucian	KaiSa	Vi	Alistar	Katarina	Graves
Jhin_784269805810123_round2_Jhin_05-19-2021.mp4_24_1.jpg	Morgana	Caitlyn	KaiSa	Jhin	Varus	Ahri	Xayah
Akali_817200292250990_round13_Twisted-Fate_05-24-2021.mp4_9_1.jpg	KaiSa	Akali	Alistar	Renekton	Caitlyn	Xayah	Lucian
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_2.jpg	Evelynn	Diana	Jinx	Nami	Janna	Yasuo	Tryndamere
Ezreal_-c47DWO9iuQ_round1_Ezreal_05-27-2021.mp4_10_2.jpg	Vi	Xayah	Ezreal	Shyvana	Tristana	Rengar	Singed
Jinx_3165192393581135_round2_Orianna_04-20-2021.mp4_25_2.jpg	Evelynn	Jinx	Orianna	Tristana	Tryndamere	Yasuo	Diana
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_65_1.jpg	Evelynn	Janna	Jinx	Nami	Tryndamere	Yasuo	Diana
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_31_1.jpg	Kennen	Garen	Blitzcrank	Yasuo	Xin_Zhao	Ahri	Vi
Jinx_1447615885600445_round7_Nami_06-04-2021.mp4_36_2.jpg	Lulu	Riven	Galio	Xin_Zhao	Tryndamere	Amumu	Yasuo
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_44_1.jpg	Caitlyn	Alistar	Jarvan_IV	Renekton	Xayah	Graves	Lucian
Jarvan_920174251860258_round6_Jhin_05-22-2021.mp4_37_2.jpg	Lucian	Xayah	Jarvan_IV	Alistar	Caitlyn	Renekton	Graves
Akali_9Aa4KRvaLFA_round4_Lee-Sin_05-19-2021.mp4_39_1.jpg	Malphite	Vi	Lucian	Alistar	Twisted_Fate	Renekton	Xayah
Darius_826771964607740_round6_Ziggs_06-02-2021.mp4_89_0.jpg	Twisted_Fate	Graves	Jhin	Darius	Renekton	Varus	Xayah
