	0	1	2	3	4	5	6	7
Annie_eYYaXcjRjQo_round36_Miss-Fortune_05-20-2021.mp4_39_1.jpg	Malphite	Annie	Olaf	Alistar	Katarina	Vi	Xayah	Ziggs
Garen_7KOuGlmIhbk_round26_Vi_06-07-2021.mp4_66_1.jpg	Renekton	Kennen	Annie	Ziggs	Amumu	Vi	Yasuo	Malphite
Janna_4448886761788772_round2_Evelynn_05-04-2021.mp4_96_3.jpg	Jinx	Amumu	Tryndamere	Evelynn	Vi	Diana	Tristana	Yasuo
Ashe_216130339881960_round4_Ashe_04-26-2021.mp4_58_2.jpg	Vi	Blitzcrank	Ashe	Yasuo	Tristana	Vayne	Xin_Zhao	Rengar
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_58_2.jpg	Amumu	Jinx	Diana	Zed	Riven	Evelynn	Yasuo	Tryndamere
Darius_1115082439004174_round3_Darius_05-19-2021.mp4_9_1.jpg	Graves	Darius	Varus	Twisted_Fate	Lucian	Renekton	Morgana	Xayah
Jinx_630613568339321_round1_Dr.-Mundo_06-04-2021.mp4_66_3.jpg	Janna	Jinx	Dr._Mundo	Nami	Tryndamere	Yasuo	Evelynn	Diana
Master_142330807963265_round2_Amumu_06-14-2021.mp4_12_3.jpg	Janna	Camille	Jinx	Master_Yi	Evelynn	Blitzcrank	Singed	Diana
Darius_1115082439004174_round1_Darius_05-19-2021.mp4_10_1.jpg	Jhin	Darius	Morgana	Twisted_Fate	Renekton	Varus	Graves	Xayah
Akali_9Aa4KRvaLFA_round3_Fizz_05-19-2021.mp4_65_1.jpg	Lucian	Malphite	Caitlyn	Vi	Graves	Renekton	Akali	Xayah
Fiora_1378226675865613_round3_Fiora_04-23-2021.mp4_24_1.jpg	Nunu	Xayah	Xin_Zhao	Tristana	Vi	Vayne	Blitzcrank	Yasuo
Lee_7KOuGlmIhbk_round22_Fiora_06-07-2021.mp4_29_0.jpg	Braum	Malphite	Lee_Sin	Tristana	Vi	Corki	Ziggs	Nunu
Jinx_v1033497503_round5_Sona_05-25-2021.mp4_85_1.jpg	Orianna	Vi	Evelynn	Jinx	Tristana	Xin_Zhao	Tryndamere	Diana
